company_id,month,headcount,new_hires_this_month,headcount_growth_rate_pct,cash_balance,net_cash_inflow,cash_inflow_spike_ratio,new_deal_value,deal_size_ratio,needs_human_review
0,1,9,0,0.0,845781.77,-15554.72,-0.36,18173.8,0.49,0
0,2,9,0,0.0,854501.74,8719.97,0.2,0,0.0,0
0,3,9,0,0.0,850529.67,-3972.07,-0.09,0,0.0,0
0,4,14,5,55.56,842232.59,-8297.07,-0.19,0,0.0,1
0,5,14,0,0.0,838421.79,-3810.8,-0.09,54720.54,1.47,0
0,6,14,0,0.0,827388.22,-11033.57,-0.26,0,0.0,0
0,7,14,0,0.0,819054.95,-8333.27,-0.19,18535.91,0.5,0
0,8,14,0,0.0,808130.15,-10924.8,-0.25,20967.36,0.56,0
0,9,14,0,0.0,800983.16,-7146.98,-0.17,20433.45,0.55,0
0,10,14,0,0.0,795821.71,-5161.45,-0.12,219715.95,5.88,1
0,11,14,0,0.0,784169.48,-11652.22,-0.27,0,0.0,0
0,12,14,0,0.0,775740.51,-8428.97,-0.2,0,0.0,0
1,1,5,0,0.0,143137.61,-1558.11,-0.18,0,0.0,0
1,2,5,0,0.0,143155.63,18.02,0.0,9959.39,0.67,0
1,3,5,0,0.0,140382.36,-2773.27,-0.33,0,0.0,0
1,4,5,0,0.0,138797.58,-1584.78,-0.19,0,0.0,0
1,5,5,0,0.0,136719.39,-2078.19,-0.25,7824.37,0.53,0
1,6,5,0,0.0,136711.81,-7.59,-0.0,20052.95,1.35,0
1,7,5,0,0.0,137119.29,407.48,0.05,6023.87,0.41,0
1,8,5,0,0.0,136047.75,-1071.54,-0.13,0,0.0,0
1,9,5,0,0.0,136143.02,95.27,0.01,0,0.0,0
1,10,5,0,0.0,135925.61,-217.42,-0.03,6089.34,0.41,0
1,11,5,0,0.0,3730291.69,3594366.08,425.42,5130.15,0.35,1
1,12,5,0,0.0,3730037.81,-253.88,-0.03,7620.83,0.51,0
2,1,46,8,21.05,301045.03,-1632.66,-0.07,6114.73,1.15,0
2,2,50,4,8.7,291175.45,-9869.58,-0.44,0,0.0,0
2,3,56,6,12.0,291407.26,231.81,0.01,3403.61,0.64,0
2,4,65,9,16.07,287545.38,-3861.88,-0.17,5430.95,1.02,0
2,5,71,6,9.23,285511.11,-2034.26,-0.09,2711.16,0.51,0
2,6,83,12,16.9,282256.83,-3254.28,-0.15,0,0.0,0
2,7,96,13,15.66,276062.98,-6193.85,-0.28,0,0.0,0
2,8,104,8,8.33,268832.57,-7230.42,-0.32,4295.72,0.81,0
2,9,124,20,19.23,263096.9,-5735.67,-0.26,3850.12,0.72,0
2,10,138,14,11.29,266029.05,2932.16,0.13,4168.34,0.78,0
2,11,155,17,12.32,262443.47,-3585.58,-0.16,0,0.0,0
2,12,175,20,12.9,262678.82,235.34,0.01,7978.34,1.5,0
3,1,2,0,0.0,2740834.13,-41948.47,-0.14,0,0.0,0
3,2,2,0,0.0,2678819.98,-62014.14,-0.21,5847.21,0.59,0
3,3,2,0,0.0,2641137.7,-37682.28,-0.13,0,0.0,0
3,4,2,0,0.0,2608854.17,-32283.53,-0.11,0,0.0,0
3,5,2,0,0.0,2682374.11,73519.94,0.25,9718.84,0.97,0
3,6,2,0,0.0,2643784.54,-38589.57,-0.13,0,0.0,0
3,7,3,1,50.0,12678006.9,10034222.36,33.89,8781.16,0.88,1
3,8,4,1,33.33,12564224.9,-113782.0,-0.38,7133.02,0.71,1
3,9,5,1,25.0,12511982.08,-52242.82,-0.18,0,0.0,0
3,10,5,0,0.0,12402376.64,-109605.44,-0.37,0,0.0,0
3,11,5,0,0.0,12343315.83,-59060.81,-0.2,0,0.0,0
3,12,6,1,20.0,12370499.46,27183.63,0.09,12816.77,1.28,0
4,1,24,3,14.29,2900484.84,-61852.7,-0.23,1533.97,0.65,0
4,2,41,17,70.83,2906879.35,6394.52,0.02,3279.64,1.38,1
4,3,42,1,2.44,2850391.63,-56487.73,-0.21,1505.18,0.63,0
4,4,44,2,4.76,2909687.77,59296.14,0.23,2654.32,1.12,0
4,5,48,4,9.09,2772261.31,-137426.46,-0.52,0,0.0,0
4,6,50,2,4.17,2685482.66,-86778.66,-0.33,1802.35,0.76,0
4,7,52,2,4.0,2582584.74,-102897.92,-0.39,0,0.0,0
4,8,54,2,3.85,2505216.51,-77368.22,-0.29,0,0.0,0
4,9,58,4,7.41,2434160.14,-71056.37,-0.27,0,0.0,0
4,10,65,7,12.07,2478431.49,44271.35,0.17,2945.28,1.24,0
4,11,68,3,4.62,2461164.58,-17266.92,-0.07,0,0.0,0
4,12,77,9,13.24,2392171.13,-68993.45,-0.26,0,0.0,0
5,1,17,0,0.0,2347734.68,-25020.12,-0.27,58060.98,1.32,0
5,2,18,1,5.88,2317849.44,-29885.25,-0.32,64721.1,1.48,0
5,3,19,1,5.56,2338916.24,21066.8,0.22,0,0.0,0
5,4,19,0,0.0,2355420.43,16504.19,0.18,33553.02,0.76,0
5,5,20,1,5.26,2328493.76,-26926.67,-0.29,30737.88,0.7,0
5,6,21,1,5.0,2294920.57,-33573.19,-0.36,61552.07,1.4,0
5,7,22,1,4.76,2281999.96,-12920.61,-0.14,0,0.0,0
5,8,23,1,4.55,2241398.72,-40601.24,-0.43,26673.28,0.61,0
5,9,24,1,4.35,2245145.64,3746.92,0.04,32060.67,0.73,0
5,10,25,1,4.17,2235427.96,-9717.67,-0.1,62395.35,1.42,0
5,11,26,1,4.0,2235917.85,489.88,0.01,40017.94,0.91,0
5,12,26,0,0.0,2214378.16,-21539.69,-0.23,46106.22,1.05,0
6,1,34,3,9.68,2028573.35,-14526.99,-0.09,18400.32,0.46,0
6,2,35,1,2.94,1987013.33,-41560.02,-0.27,0,0.0,0
